"16740,0,0,0",,,,,
"17190,0,0,0",,,,,
"10050,1,1,0",,,,,
"16340,1,2,0",,,,,
"18270,1,3,0",,,,,
"5022,1,4,0",,,,,
"16235,1,5,0",,,,,
"15521,1,6,0",,,,,
"15170,1,7,0",,,,,
"16320,1,8,0",,,,,
"15876,1,9,0",,,,,
"13650,1,10,0",,,,,
"11664,0,0,1",,,,,
"12996,0,0,1",,,,,
"11899,0,0,1",,,,,
"12996,0,0,1",,,,,
"12284,0,0,1",,,,,
"12136,0,0,1",,,,,
"9834,0,0,1",,,,,
"10920,0,0,1",,,,,
"11607,0,0,1",,,,,
"11076,0,0,1",,,,,
"10212,0,0,1",,,,,
"9570,0,0,1",,,,,
"8432,0,0,1",,,,,
"8296,0,0,1",,,,,
"7980,0,0,1",,,,,
"7847,0,0,1",,,,,
"7980,0,0,0",,,,,
"7740,0,0,0",,,,,
"7434,0,0,0",,,,,
"7250,0,0,0",,,,,
"7198,0,0,0",,,,,
"7018,0,0,0",,,,,
"7018,0,0,0",,,,,
"6552,0,0,0",,,,,
"6325,0,0,0",,,,,
"6669,0,0,0",,,,,
"6270,0,0,0",,,,,
"6160,0,0,0",,,,,
"6272,0,0,0",,,,,
"5022,0,0,0",,,,,
"6216,0,0,0",,,,,
"6216,0,0,0",,,,,
"5408,0,0,0",,,,,
"5940,0,0,0",,,,,
"5022,0,0,0",,,,,
"5022,0,0,0",,,,,
"5022,0,0,0",,,,,
"5044,0,0,0",,,,,
"5445,0,0,0",,,,,
"5544,0,0,0",,,,,
"5445,0,0,0",,,,,
"5400,0,0,0",,,,,
"5778,0,0,0",,,,,
"6327,0,0,0",,,,,
"6328,0,0,0",,,,,
"6272,0,0,0",,,,,
"6272,0,0,0",,,,,
"6160,0,0,0",,,,,
"6160,0,0,0",,,,,
"6440,0,0,0",,,,,
"6496,0,0,0",,,,,
"6902,0,0,0",,,,,
"7018,0,0,0",,,,,
"7076,0,0,0",,,,,
"7257,0,0,0",,,,,
"7375,0,0,0",,,,,
"7250,0,0,0",,,,,
"7308,0,0,0",,,,,
"8370,0,0,0",,,,,
"8832,0,0,0",,,,,
"8896,0,0,0",,,,,
"8960,0,0,0",,,,,
"9152,0,0,0",,,,,
"9782,1,1,0",,,,,
"11147,1,2,0",,,,,
"10695,1,3,0",,,,,
"12210,1,4,0",,,,,
"12284,1,5,0",,,,,
"5022,1,6,0",,,,,
"10920,1,7,0",,,,,
"12284,1,8,0",,,,,
"12284,1,9,0",,,,,
"12675,1,10,0",,,,,
"13398,0,0,1",,,,,
"12675,0,0,1",,,,,
"14742,0,0,1",,,,,
"12600,0,0,1",,,,,
"5022,0,0,1",,,,,
"12045,0,0,1",,,,,
"11972,0,0,1",,,,,
"16512,0,0,1",,,,,
"16512,0,0,1",,,,,
"16512,0,0,1",,,,,
"16235,0,0,1",,,,,
"12136,0,0,1",,,,,
"13182,0,0,1",,,,,
"7056,0,0,1",,,,,
"16704,0,0,1",,,,,
"6765,0,0,1",,,,,
"7540,0,0,0",,,,,
"8680,0,0,0",,,,,
"9009,0,0,0",,,,,
"6460,0,0,0",,,,,
"7216,0,0,0",,,,,
"5868,0,0,0",,,,,
"4884,0,0,0",,,,,
"6588,0,0,0",,,,,
"7296,0,0,0",,,,,
"7296,0,0,0",,,,,
"14596,0,0,0",,,,,
"18270,0,0,0",,,,,
"5022,0,0,0",,,,,
"16704,0,0,0",,,,,
"15876,0,0,0",,,,,
"15604,0,0,0",,,,,
"14062,0,0,0",,,,,
"13728,0,0,0",,,,,
"14742,0,0,0",,,,,
"14320,0,0,0",,,,,
"13983,0,0,0",,,,,
"13572,0,0,0",,,,,
"13244,0,0,0",,,,,
"12600,0,0,0",,,,,
"12136,0,0,0",,,,,
"11520,0,0,0",,,,,
"10695,0,0,0",,,,,
"10695,0,0,0",,,,,
"5022,0,0,0",,,,,
"10336,1,1,0",,,,,
"10064,1,2,0",,,,,
"9648,1,3,0",,,,,
"9100,1,4,0",,,,,
"8379,1,5,0",,,,,
"8379,1,6,0",,,,,
"8840,1,7,0",,,,,
"8775,1,8,0",,,,,
"8448,1,9,0",,,,,
"8320,1,10,0",,,,,
"8064,0,0,0",,,,,
"7750,0,0,0",,,,,
"7503,0,0,0",,,,,
"7503,0,0,0",,,,,
"7260,0,0,0",,,,,
"7320,0,0,0",,,,,
"7021,0,0,0",,,,,
"6441,0,0,0",,,,,
"6105,0,0,0",,,,,
"5618,0,0,0",,,,,
"5670,0,0,0",,,,,
"5670,0,0,0",,,,,
"5300,0,0,0",,,,,
"5454,0,0,0",,,,,
"5044,0,0,0",,,,,
"5247,0,0,0",,,,,
"5044,0,0,0",,,,,
"5356,0,0,0",,,,,
"6104,0,0,0",,,,,
"6216,0,0,0",,,,,
"6441,0,0,0",,,,,
"6441,0,0,0",,,,,
"6728,0,0,0",,,,,
"6844,0,0,0",,,,,
"7080,0,0,0",,,,,
"7320,0,0,0",,,,,
"7442,0,0,0",,,,,
"7812,0,0,0",,,,,
"7874,0,0,0",,,,,
"8384,0,0,0",,,,,
"5022,0,0,0",,,,,
"8190,0,0,0",,,,,
"8778,0,0,0",,,,,
"5022,0,0,0",,,,,
"8576,0,0,0",,,,,
"8122,0,0,0",,,,,
"9108,0,0,0",,,,,
"8896,0,0,0",,,,,
"9088,0,0,0",,,,,
"9425,0,0,0",,,,,
"9702,1,1,0",,,,,
"10350,1,2,0",,,,,
"10640,1,3,0",,,,,
"10934,1,4,0",,,,,
"12150,1,5,0",,,,,
"12375,1,6,0",,,,,
"12450,1,7,0",,,,,
"12284,1,8,0",,,,,
"12284,1,9,0",,,,,
"12284,1,10,0",,,,,
"12920,0,0,1",,,,,
"13398,0,0,1",,,,,
"12996,0,0,1",,,,,
"13650,0,0,1",,,,,
"13650,0,0,1",,,,,
"13572,0,0,1",,,,,
"14141,0,0,1",,,,,
"14742,0,0,1",,,,,
"16598,0,0,1",,,,,
"16684,0,0,1",,,,,
"6102,0,0,1",,,,,
"6102,0,0,1",,,,,
"6102,0,0,1",,,,,
"6102,0,0,1",,,,,
"5022,0,0,1",,,,,
,,,,,
RUN,SUCCESSFUL,(total,time:,1m,11s)
